095900.19+295738.3 0.459 0 53111 19.608 0.022 55945 20.899 0.075 53436 56359 20.733 0.072     0 N/A      0 -1.0
100126.85+054606.3 0.399 1 52318 19.407 0.020 56333 20.825 0.058 52731 56333 20.825 0.058 57430 MMT      0  1.0
100150.22+513545.5 0.403 0 52262 19.577 0.052 55983 21.423 0.121 52400 56331 20.818 0.066 57835 MMT      0  0.8
100220.17+450927.3 0.400 1 52288 19.223 0.023 55275 20.637 0.071 52376 56338 20.150 0.083 56683 BOSS     1 -1.0
100302.62+193251.2 0.467 0 53439 20.110 0.023 55946 18.724 0.020 53762 55946 18.724 0.020 58183 MMT      0  1.5
100400.92+524242.3 0.225 1 52262 18.669 0.022 55615 20.301 0.066 52400 55615 20.301 0.066     0 N/A      0 -1.0
101152.98+544206.4 0.246 1 52318 18.372 0.017 55838 19.879 0.014 52652 56331 19.736 0.026 57073 eBOSS    1 -1.0
101241.48+552945.8 0.488 0 52014 19.115 0.019 56355 20.256 0.054 52407 56355 20.256 0.054     0 N/A      0 -1.0
101347.80+594006.3 0.332 1 51874 19.385 0.083 55957 20.597 0.101 52316 56441 20.450 0.092 57816 MMT      0 -1.0
101935.23+483226.5 0.362 1 52263 18.780 0.016 56331 20.458 0.049 52674 56331 20.458 0.049 57426 WHT      0  3.2
102016.04+014231.7 0.448 1 51901 19.504 0.027 56029 20.934 0.067 51999 56029 20.925 0.063 57430 MMT      0 -1.0
102152.34+464515.6 0.204 1 52313 18.164 0.033 56303 19.606 0.026 52614 56338 19.513 0.025 56769 BOSS     1 -1.0
102714.15+060727.1 0.270 1 52338 18.346 0.027 56029 19.530 0.020 52750 56029 19.530 0.020 57819 MMT      0  1.2
102721.06+364344.3 0.615 0 53052 18.577 0.020 56310 20.810 0.143 53415 56331 20.667 0.066     0 N/A      0 -1.0
103045.00+104753.2 0.362 1 52622 19.392 0.029 55947 20.949 0.074 53089 55948 20.699 0.076 57430 MMT      0  2.2
103054.65+381556.8 0.535 0 52671 18.573 0.018 56338 20.016 0.041 53002 56338 19.887 0.040 58183 MMT      0  2.5
103904.53+194322.5 0.394 1 53441 19.298 0.018 55958 20.734 0.055 53770 55958 20.734 0.055 57430 MMT      0  0.6
104132.78-005057.4 0.303 0 51257 18.295 0.025 56336 21.409 0.103 51913 56336 21.116 0.078 57431 MMT      1 -1.0
104552.42+002410.3 0.556 0 51259 18.406 0.022 56029 20.036 0.030 51910 56029 20.036 0.030     0 N/A      0 -1.0
104705.16+544405.8 0.215 0 52262 17.507 0.017 56337 19.120 0.019 52368 56337 18.915 0.017     0 N/A      0 -1.0
104709.27+293446.9 0.458 1 53137 19.786 0.019 56310 20.923 0.103 53463 56335 20.813 0.058     0 N/A      0 -1.0
104856.85+344232.1 0.379 1 53080 18.641 0.021 55983 19.758 0.032 53431 56335 19.706 0.024     0 N/A      0 -1.0
105125.58+105621.5 0.602 0 52721 17.785 0.059 56357 19.294 0.034 53117 56357 19.294 0.034     0 N/A      0 -1.0
105203.55+151929.5 0.302 0 53525 18.860 0.027 56357 20.413 0.044 53852 56357 20.413 0.044     0 N/A      0 -1.0
105325.40+302419.3 0.248 0 53137 18.879 0.016 56334 20.506 0.077 53463 56334 20.506 0.077     0 N/A      0 -1.0
105513.88+242553.6 0.497 0 53405 19.566 0.028 55243 20.832 0.049 53793 56000 20.652 0.059     0 N/A      0 -1.0
105553.51+563434.4 0.322 1 52233 20.147 0.042 56441 18.653 0.028 52373 56441 18.653 0.028 57424 WHT      1  2.9
105810.57+031140.8 0.350 1 51669 19.876 0.020 55791 21.659 0.072 52366 56331 21.054 0.084     0 N/A      0 -1.0
105822.94+153534.1 0.348 1 55274 18.794 0.040 56016 20.165 0.046 53852 56016 20.165 0.046 57426 WHT      1  2.7
110146.57+511435.2 0.449 0 52287 19.611 0.043 55983 21.960 0.147 52353 56337 21.727 0.125     0 N/A      0 -1.0
110516.40+111800.9 0.337 1 52729 19.736 0.023 55999 20.831 0.070 53119 56357 20.750 0.054 57431 MMT      0 -1.0
111006.87+391859.9 0.597 0 53052 19.001 0.028 56338 20.175 0.042 53433 56338 20.089 0.044     0 N/A      0 -1.0
111329.68+531338.7 0.239 1 52261 18.894 0.030 56332 20.233 0.035 52649 56332 20.233 0.035 57425 WHT      1  4.7
111348.64+494522.4 0.659 1 52354 19.113 0.035 56303 20.606 0.046 52438 56303 20.606 0.046 57539 WHT      0  2.1
111830.74+025630.2 0.512 0 51669 19.144 0.019 55983 20.272 0.049 52636 56336 20.258 0.046     0 N/A      0 -1.0
113028.02+324113.2 0.424 0 53139 19.306 0.020 56334 21.085 0.112 53430 56334 21.085 0.112     0 N/A      0 -1.0
113416.81-001902.3 0.356 0 54210 19.479 0.024 56336 20.877 0.092 51658 56336 20.877 0.092 57835 MMT      1  1.7
113707.30+270616.8 0.465 0 53360 19.532 0.021 56421 20.702 0.058 53816 56421 20.702 0.058     0 N/A      0 -1.0
114004.01+432605.6 0.394 1 52724 19.491 0.025 55633 21.533 0.124 53062 56338 20.629 0.092 57431 MMT      0 -1.0
114227.15+514906.8 0.543 0 52263 19.287 0.020 55272 20.741 0.082 52367 56337 20.419 0.041     0 N/A      0 -1.0
114245.45+680236.5 0.404 1 51641 19.655 0.032 55638 20.962 0.054 51955 55685 20.919 0.052     0 N/A      0 -1.0
115219.25+105609.4 0.642 0 52345 18.725 0.027 56443 19.801 0.029 52733 56443 19.801 0.029     0 N/A      0 -1.0
115355.88+112554.2 0.310 0 52729 18.895 0.030 55240 20.839 0.059 53142 56443 20.729 0.057 54948 SDSS     1 -1.0
115557.88+034207.8 0.324 0 51668 19.596 0.019 55983 21.467 0.132 52051 56389 21.097 0.081     0 N/A      0 -1.0
115653.48+333146.9 0.221 1 53120 18.472 0.032 56392 19.556 0.025 53469 56392 19.536 0.027 57818 MMT      0  0.8
120038.96+322401.0 0.512 0 53120 19.150 0.024 55994 20.715 0.027 53474 56392 20.496 0.051     0 N/A      0 -1.0
120114.47+133137.0 0.379 0 52729 18.784 0.022 56359 20.272 0.040 53147 56443 19.903 0.031 57818 MMT      0  1.5
120447.91+170256.8 0.298 0 53522 16.963 0.016 56007 18.689 0.020 54207 56421 18.241 0.011     0 N/A      0 -1.0
120510.23+333532.2 0.299 0 53120 18.383 0.014 55629 19.855 0.035 53474 56392 19.517 0.027     0 N/A      0 -1.0
120555.34+424149.5 0.375 1 55276 19.453 0.023 55984 20.721 0.049 53120 56391 20.711 0.056 57895 MMT      0  1.7
120710.25+000806.1 0.383 1 51962 19.506 0.029 55634 21.016 0.074 51999 56392 20.553 0.046     0 N/A      0 -1.0
121033.30-011755.6 0.542 0 51586 18.453 0.020 56387 19.658 0.028 52367 56392 19.594 0.033     0 N/A      0 -1.0
121517.19+551235.5 0.313 1 52261 17.899 0.034 56391 19.365 0.021 52707 56391 19.365 0.021 57424 WHT      0  7.6
121739.24+430734.7 0.648 0 52730 18.979 0.017 55984 20.647 0.048 53120 56391 20.420 0.046     0 N/A      0 -1.0
122007.38+022431.6 0.159 1 51668 18.066 0.030 55242 19.178 0.017 52282 56392 19.093 0.017 57930 Palomar  0  3.9
122009.55-013201.1 0.287 1 51606 18.836 0.021 55242 20.187 0.036 52313 55242 20.187 0.036 57538 WHT      0  0.8
122018.43+064119.6 0.286 0 52730 17.548 0.015 56389 19.043 0.018 53472 56389 19.041 0.018 57818 MMT      0  3.4
122843.07+104059.2 0.375 0 52619 19.150 0.015 56443 20.421 0.045 52731 56443 20.421 0.045 57818 MMT      0  1.4
123228.08+141558.7 0.427 0 55243 19.248 0.032 56415 20.584 0.063 53442 56415 20.584 0.063 57835 MMT      0  0.9
123248.32+134945.1 0.505 0 52667 18.056 0.041 56415 19.139 0.021 53442 56415 19.139 0.021     0 N/A      0 -1.0
123359.12+084211.5 0.255 1 52730 18.715 0.030 56392 20.308 0.040 53474 56392 20.308 0.040 57539 WHT      1 11.9
123523.91+344321.5 0.597 0 53111 20.306 0.034 56029 21.605 0.100 53431 56392 21.535 0.136     0 N/A      0 -1.0
123658.10+455354.4 0.235 0 52724 18.375 0.027 56391 19.635 0.032 53062 56391 19.635 0.032     0 N/A      0 -1.0
124210.41+115223.8 0.298 1 52729 19.251 0.021 56015 20.703 0.060 53472 56015 20.703 0.060 57539 WHT      1  2.0
124259.98+450411.2 0.467 0 52722 19.559 0.024 55276 21.251 0.101 53063 56391 20.787 0.067     0 N/A      0 -1.0
124523.22+584047.0 0.611 0 52014 19.854 0.023 56358 21.263 0.118 54570 56358 21.599 0.168     0 N/A      0 -1.0
124805.45+514415.1 0.774 0 52287 19.676 0.073 56391 20.799 0.057 52381 56391 20.799 0.057     0 N/A      0 -1.0
125111.97+134717.9 0.460 0 52789 19.275 0.035 55243 20.783 0.067 53171 56415 21.312 0.157     0 N/A      0 -1.0
125444.95+035020.8 0.394 0 52015 18.442 0.022 56392 19.671 0.025 52669 56392 19.616 0.026     0 N/A      0 -1.0
125448.27+293240.3 0.628 0 53147 19.618 0.020 56000 21.665 0.131 53499 56392 21.212 0.097     0 N/A      0 -1.0
130430.57+433343.5 0.502 0 52722 18.679 0.019 56385 20.954 0.083 53083 56385 20.847 0.071     0 N/A      0 -1.0
132457.29+480241.2 0.272 1 52671 18.610 0.026 56388 19.883 0.068 52759 56395 19.697 0.030 56805 BOSS     1 -1.0
132743.53+654651.7 0.451 0 51640 19.948 0.040 55650 21.218 0.147 51988 56112 21.831 0.153     0 N/A      0 -1.0
132815.50+223823.8 0.486 1 53441 19.182 0.020 56370 20.728 0.059 54230 56370 20.728 0.059 57426 WHT      0  2.8
132931.37+202723.1 0.231 0 53441 18.380 0.029 56370 20.457 0.046 54230 56370 20.184 0.048 57930 Palomar  0  1.9
132935.42+221610.4 0.290 1 53439 18.837 0.020 56359 21.277 0.100 54230 56359 21.277 0.100     0 N/A      0 -1.0
133016.10+525101.8 0.162 1 56031 18.060 0.013 56395 15.908 0.026 52725 56395 15.908 0.026 57424 WHT      0  1.1
133223.55+184110.8 0.513 1 53500 20.469 0.030 56359 21.713 0.123 54230 56370 21.471 0.135     0 N/A      0 -1.0
133420.03+063832.7 0.536 0 52435 18.973 0.034 56032 17.679 0.008 54156 56393 17.961 0.010 57903 Palomar  0  3.1
133952.36+062528.2 0.335 0 52730 19.128 0.018 55305 21.236 0.131 54156 56393 20.692 0.071     0 N/A      0 -1.0
134104.40+671337.1 0.551 0 51640 19.377 0.026 56358 20.425 0.058 51989 56420 20.414 0.042 57930 Palomar  0  2.1
134402.37+110550.4 0.385 0 52729 18.546 0.015 56415 19.651 0.027 53142 56415 19.651 0.027     0 N/A      0 -1.0
