ra,dec,ks_flux_aper2,ks_fluxerr_aper2,splash_1_flux,splash_1_flux_err,splash_2_flux,splash_2_flux_err,splash_3_flux,splash_3_flux_err,splash_4_flux,splash_4_flux_err,photoz,type,dist,angle
150.021869,2.546210,2660.779,0.212,1600.559,15.326,1111.814,16.983,817.357,20.314,433.929,22.696,null,0,218.430656,80.310793
149.913714,2.572963,229.174,0.223,133.256,1.444,96.497,0.731,59.719,6.084,35.053,4.977,null,1,218.776117,307.462862
149.909825,2.504579,56.458,0.226,104.880,0.507,65.188,0.386,37.613,6.035,20.072,5.550,0.719,0,219.103190,238.919491
150.023049,2.531646,181.529,0.202,96.668,0.848,64.582,0.407,39.450,6.085,21.536,1.564,null,0,220.121756,94.082339
149.906427,2.510162,26.503,0.222,58.715,0.336,48.811,0.258,30.072,3.197,27.631,3.874,0.924,0,220.453930,245.044199
149.900614,2.529260,53.775,0.202,75.797,0.395,50.613,0.269,45.327,4.592,21.417,4.146,0.790,0,222.103022,263.729684
149.990136,2.480856,76.117,0.216,69.363,0.388,60.350,0.249,42.581,6.642,59.282,6.446,0.340,0,222.821612,152.989480
150.004630,2.581995,1017.288,0.218,525.942,7.243,335.880,4.678,223.181,9.791,116.829,6.006,null,0,225.661829,42.795812
150.022111,2.517785,41.939,0.212,65.974,0.516,41.538,0.233,32.193,3.552,17.406,2.932,0.753,0,225.915540,106.872501
150.022402,2.516541,62.852,0.208,117.131,0.818,85.521,0.331,68.135,5.261,59.163,3.473,null,2,228.253109,107.872007
149.998602,2.587953,27.280,0.215,72.053,0.303,86.784,0.359,76.910,3.357,70.915,4.142,1.447,0,228.710062,35.137985
149.926302,2.588597,144.781,0.226,88.659,1.310,64.085,0.798,45.283,4.064,25.789,6.141,null,1,228.770885,325.862027
150.022192,2.515380,71.433,0.214,117.852,0.676,73.486,0.353,49.405,4.040,29.403,2.726,0.729,0,228.855973,108.926023
149.910140,2.573339,166.231,0.217,134.620,0.593,113.045,0.438,63.147,6.471,56.183,4.822,0.259,0,229.902056,305.781659
149.996815,2.589573,47.079,0.214,59.486,0.314,45.791,0.247,29.294,3.768,11.934,3.163,0.531,0,229.940130,32.991364
150.018508,2.505909,56.510,0.231,75.468,0.374,73.830,0.244,36.442,4.796,127.690,5.764,0.341,0,230.300299,118.057780
150.016186,2.501768,59.095,0.229,76.965,0.297,66.780,0.207,27.337,4.613,162.082,5.774,0.217,0,230.576611,122.306049
149.942379,2.597261,28.827,0.219,53.079,0.415,37.111,0.284,22.293,4.197,10.816,5.109,0.913,0,231.552135,342.257529
149.908590,2.572627,43.537,0.216,88.011,0.449,69.302,0.264,57.943,4.577,43.743,5.982,null,2,232.986642,304.469507
150.001488,2.484491,42.028,0.219,79.690,0.407,62.607,0.269,47.473,4.160,49.847,2.353,0.930,0,233.570048,142.551558
149.905348,2.568256,61.896,0.217,51.183,0.482,35.147,0.291,21.484,5.589,1.849,3.160,null,1,234.512530,299.681805
149.896781,2.539061,213.957,0.213,135.204,1.552,97.096,0.833,52.510,5.951,27.880,4.890,null,1,234.818673,272.691339
150.025589,2.521056,23.046,0.162,50.769,0.386,44.042,0.238,27.968,3.903,31.379,3.113,1.020,0,234.939849,103.236203
149.928425,2.592066,655.747,0.219,714.062,2.460,483.556,1.392,332.461,12.934,350.513,13.679,null,0,235.200016,329.111236
149.933384,2.477098,50.416,0.224,104.620,0.309,70.394,0.284,64.968,5.163,37.975,6.503,0.683,0,235.702707,205.890818
150.027605,2.538726,9102.767,0.145,5010.045,79.336,3763.569,69.991,2546.734,86.492,1445.344,70.557,null,0,236.149290,87.616587
149.997867,2.480860,22.133,0.217,52.080,0.235,58.427,0.225,44.166,4.274,32.920,2.801,1.411,0,236.735261,146.981639
149.996672,2.592415,227.757,0.217,150.220,0.704,118.804,0.468,68.839,3.714,42.397,3.631,null,0,238.319895,31.548004
149.945235,2.600118,69.896,0.218,64.716,0.390,58.463,0.217,41.979,4.539,79.331,7.594,0.330,0,238.569389,345.361167
150.008123,2.488076,1570.075,0.233,741.835,12.997,481.025,5.679,324.526,14.065,172.065,9.063,null,0,239.338325,136.123528
149.998208,2.591984,78.189,0.215,125.267,0.588,78.963,0.292,61.094,3.258,28.711,3.389,null,0,239.949353,32.866008
150.022653,2.508021,82.479,0.210,136.029,1.061,88.881,0.287,64.955,5.998,36.589,3.653,0.720,0,240.272243,114.783609
149.899454,2.511845,1931.323,0.225,1029.104,13.124,772.715,12.486,566.038,17.882,455.281,19.852,null,2,241.168874,248.866588
149.942993,2.600633,163.751,0.220,149.707,0.658,124.428,0.552,80.802,7.130,29.967,5.091,0.340,0,242.512885,343.628799
150.027919,2.552012,97.315,0.144,219.026,0.779,168.935,0.736,157.341,7.219,100.180,4.919,0.730,0,243.982016,76.332919
150.029980,2.533089,58.315,0.128,99.038,0.855,61.483,0.407,53.067,9.942,24.205,3.880,0.691,0,244.711301,92.452603
149.978079,2.469565,22.912,0.216,53.349,0.224,37.672,0.265,33.064,3.464,19.121,7.404,0.689,0,246.057758,166.406280
149.938608,2.600473,149.225,0.227,69.668,0.558,44.327,0.525,33.389,4.192,13.074,2.824,null,0,246.879813,340.077103
150.029460,2.550141,128.575,0.133,89.650,0.301,73.084,0.616,53.892,5.517,32.665,2.389,null,0,247.899705,78.148076
